Obs,Date,Open,High,Low,Close,Adj Close,Volume
1,10/31/2022,153.160004,154.240005,151.919998,153.339996,152.435684,97943200
2,11/1/2022,155.080002,155.449997,149.130005,150.649994,149.761551,80379300
3,11/2/2022,148.949997,152.169998,145,145.029999,144.174698,93604600
4,11/3/2022,142.059998,142.800003,138.75,138.880005,138.060974,97918500
5,11/4/2022,142.089996,142.669998,134.380005,138.380005,137.79213,140814800
6,11/7/2022,137.110001,139.149994,135.669998,138.919998,138.329819,83374600
7,11/8/2022,140.410004,141.429993,137.490005,139.5,138.907364,89908500
8,11/9/2022,138.5,138.550003,134.589996,134.869995,134.297028,74917800
9,11/10/2022,141.240005,146.869995,139.5,146.869995,146.246033,118854000
10,11/11/2022,145.820007,150.009995,144.369995,149.699997,149.064026,93979700
11,11/14/2022,148.970001,150.279999,147.429993,148.279999,147.650055,73374100
12,11/15/2022,152.220001,153.589996,148.559998,150.039993,149.402573,89868300
13,11/16/2022,149.130005,149.869995,147.289993,148.789993,148.157883,64218300
14,11/17/2022,146.429993,151.479996,146.149994,150.720001,150.079681,80389400
15,11/18/2022,152.309998,152.699997,149.970001,151.289993,150.647263,74829600
16,11/21/2022,150.160004,150.369995,147.720001,148.009995,147.38121,58724100
17,11/22/2022,148.130005,150.419998,146.929993,150.179993,149.541977,51804100
18,11/23/2022,149.449997,151.830002,149.339996,151.070007,150.428207,58301400
19,11/25/2022,148.309998,148.880005,147.119995,148.110001,147.480789,35195900
20,11/28/2022,145.139999,146.639999,143.380005,144.220001,143.607315,69246000
21,11/29/2022,144.289993,144.809998,140.350006,141.169998,140.570267,83763800
22,11/30/2022,141.399994,148.720001,140.550003,148.029999,147.401123,111380900
23,12/1/2022,148.210007,149.130005,146.610001,148.309998,147.679932,71250400
24,12/2/2022,145.960007,148,145.649994,147.809998,147.182068,65447400
25,12/5/2022,147.770004,150.919998,145.770004,146.630005,146.00708,68826400
26,12/6/2022,147.070007,147.300003,141.919998,142.910004,142.302872,64727200
27,12/7/2022,142.190002,143.369995,140,140.940002,140.341248,69721100
28,12/8/2022,142.360001,143.520004,141.100006,142.649994,142.043976,62128300
29,12/9/2022,142.339996,145.570007,140.899994,142.160004,141.556061,76097000
30,12/12/2022,142.699997,144.5,141.059998,144.490005,143.87616,70462700
31,12/13/2022,149.5,149.970001,144.240005,145.470001,144.852005,93886200
32,12/14/2022,145.350006,146.660004,141.160004,143.210007,142.601608,82291200
33,12/15/2022,141.110001,141.800003,136.029999,136.5,135.920105,98931900
34,12/16/2022,136.690002,137.649994,133.729996,134.509995,133.938568,160156900
35,12/19/2022,135.110001,135.199997,131.320007,132.369995,131.807632,79592600
36,12/20/2022,131.389999,133.25,129.889999,132.300003,131.737946,77432800
37,12/21/2022,132.979996,136.809998,132.75,135.449997,134.874573,85928000
38,12/22/2022,134.350006,134.559998,130.300003,132.229996,131.668243,77852100
39,12/23/2022,130.919998,132.419998,129.639999,131.860001,131.29982,63814900
40,12/27/2022,131.380005,131.410004,128.720001,130.029999,129.477585,69007800
41,12/28/2022,129.669998,131.029999,125.870003,126.040001,125.504539,85438400
42,12/29/2022,127.989998,130.479996,127.730003,129.610001,129.059372,75703700
43,12/30/2022,128.410004,129.949997,127.43,129.929993,129.378006,77034200
44,1/3/2023,130.279999,130.899994,124.169998,125.07,124.538658,112117500
45,1/4/2023,126.889999,128.660004,125.080002,126.360001,125.823189,89113600
46,1/5/2023,127.129997,127.769997,124.760002,125.019997,124.488876,80962700
47,1/6/2023,126.010002,130.289993,124.889999,129.619995,129.069336,87754700
48,1/9/2023,130.470001,133.410004,129.889999,130.149994,129.597076,70790800
49,1/10/2023,130.259995,131.259995,128.119995,130.729996,130.174622,63896200
50,1/11/2023,131.25,133.509995,130.460007,133.490005,132.922897,69458900
51,1/12/2023,133.880005,134.259995,131.440002,133.410004,132.843231,71379600
52,1/13/2023,132.029999,134.919998,131.660004,134.759995,134.1875,57809700
53,1/17/2023,134.830002,137.289993,134.130005,135.940002,135.362488,63646600
54,1/18/2023,136.820007,138.610001,135.029999,135.210007,134.63559,69672800
55,1/19/2023,134.080002,136.25,133.770004,135.270004,134.695343,58280400
56,1/20/2023,135.279999,138.020004,134.220001,137.869995,137.284286,80223600
57,1/23/2023,138.119995,143.320007,137.899994,141.110001,140.510513,81760300
58,1/24/2023,140.309998,143.160004,140.300003,142.529999,141.924484,66435100
59,1/25/2023,140.889999,142.429993,138.809998,141.860001,141.257324,65799300
60,1/26/2023,143.169998,144.25,141.899994,143.960007,143.348419,54105100
61,1/27/2023,143.160004,147.229996,143.080002,145.929993,145.310028,70555800
62,1/30/2023,144.960007,145.550003,142.850006,143,142.392502,64015300
63,1/31/2023,142.699997,144.339996,142.279999,144.289993,143.677002,65874500
64,2/1/2023,143.970001,146.610001,141.320007,145.429993,144.812149,77663600
65,2/2/2023,148.899994,151.179993,148.169998,150.820007,150.17926,118339000
66,2/3/2023,148.029999,157.380005,147.830002,154.5,153.843628,154357300
67,2/6/2023,152.570007,153.100006,150.779999,151.729996,151.085403,69858300
68,2/7/2023,150.639999,155.229996,150.639999,154.649994,153.992996,83322600
69,2/8/2023,153.880005,154.580002,151.169998,151.919998,151.274597,64120100
70,2/9/2023,153.779999,154.330002,150.419998,150.869995,150.22905,56007100
71,2/10/2023,149.460007,151.339996,149.220001,151.009995,150.598038,57450700
72,2/13/2023,150.949997,154.259995,150.919998,153.850006,153.430313,62199000
73,2/14/2023,152.119995,153.770004,150.860001,153.199997,152.782074,61707600
74,2/15/2023,153.110001,155.5,152.880005,155.330002,154.906265,65573800
75,2/16/2023,153.509995,156.330002,153.350006,153.710007,153.290695,68167900
76,2/17/2023,152.350006,153,150.850006,152.550003,152.13385,59144100
77,2/21/2023,150.199997,151.300003,148.410004,148.479996,148.074951,58867200
78,2/22/2023,148.869995,149.949997,147.160004,148.910004,148.503784,51011300
79,2/23/2023,150.089996,150.339996,147.240005,149.399994,148.992432,48394200
80,2/24/2023,147.110001,147.190002,145.720001,146.710007,146.309784,55469600
81,2/27/2023,147.710007,149.169998,147.449997,147.919998,147.516479,44998500
82,2/28/2023,147.050003,149.080002,146.830002,147.410004,147.007874,50547000
83,3/1/2023,146.830002,147.229996,145.009995,145.309998,144.913589,55479000
84,3/2/2023,144.380005,146.710007,143.899994,145.910004,145.511963,52238100
85,3/3/2023,148.039993,151.110001,147.330002,151.029999,150.617996,70732300
86,3/6/2023,153.789993,156.300003,153.460007,153.830002,153.410355,87558000
87,3/7/2023,153.699997,154.029999,151.130005,151.600006,151.186447,56182000
88,3/8/2023,152.809998,153.470001,151.830002,152.869995,152.452972,47204800
89,3/9/2023,153.559998,154.539993,150.229996,150.589996,150.179184,53833600
90,3/10/2023,150.210007,150.940002,147.610001,148.5,148.094894,68572400
91,3/13/2023,147.809998,153.139999,147.699997,150.470001,150.059525,84457100
92,3/14/2023,151.279999,153.399994,150.100006,152.589996,152.173737,73695900
93,3/15/2023,151.190002,153.25,149.919998,152.990005,152.572662,77167900
94,3/16/2023,152.160004,156.460007,151.639999,155.850006,155.42485,76161100
95,3/17/2023,156.080002,156.740005,154.279999,155,154.577164,98944600
96,3/20/2023,155.070007,157.820007,154.149994,157.399994,156.970612,73641400
97,3/21/2023,157.320007,159.399994,156.539993,159.279999,158.845474,73938300
98,3/22/2023,159.300003,162.139999,157.809998,157.830002,157.399445,75701800
99,3/23/2023,158.830002,161.550003,157.679993,158.929993,158.496429,67622100
100,3/24/2023,158.860001,160.339996,157.850006,160.25,159.812851,59196500
101,3/27/2023,159.940002,160.770004,157.869995,158.279999,157.848221,52390300
102,3/28/2023,157.970001,158.490005,155.979996,157.649994,157.219925,45992200
103,3/29/2023,159.369995,161.050003,159.350006,160.770004,160.331436,51305700
104,3/30/2023,161.529999,162.470001,161.270004,162.360001,161.917099,49501700
105,3/31/2023,162.440002,165,161.910004,164.899994,164.45015,68749800
106,4/3/2023,164.270004,166.289993,164.220001,166.169998,165.71669,56976200
107,4/4/2023,166.600006,166.839996,165.110001,165.630005,165.178177,46278300
108,4/5/2023,164.740005,165.050003,161.800003,163.759995,163.313263,51511700
109,4/6/2023,162.429993,164.960007,162,164.660004,164.210815,45390100
110,4/10/2023,161.419998,162.029999,160.080002,162.029999,161.587982,47716900
111,4/11/2023,162.350006,162.360001,160.509995,160.800003,160.361343,47644200
112,4/12/2023,161.220001,162.059998,159.779999,160.100006,159.663254,50133100
113,4/13/2023,161.630005,165.800003,161.419998,165.559998,165.108353,68445600
114,4/14/2023,164.589996,166.320007,163.820007,165.210007,164.759323,49386500
115,4/17/2023,165.089996,165.389999,164.029999,165.229996,164.779251,41516200
116,4/18/2023,166.100006,167.410004,165.649994,166.470001,166.015884,49923000
117,4/19/2023,165.800003,168.160004,165.539993,167.630005,167.172729,47720200
118,4/20/2023,166.089996,167.869995,165.559998,166.649994,166.195374,52456400
119,4/21/2023,165.050003,166.449997,164.490005,165.020004,164.569839,58337300
120,4/24/2023,165,165.600006,163.889999,165.330002,164.878983,41949600
121,4/25/2023,165.190002,166.309998,163.729996,163.770004,163.323242,48714100
122,4/26/2023,163.059998,165.279999,162.800003,163.759995,163.313263,45498800
123,4/27/2023,165.190002,168.559998,165.190002,168.410004,167.950592,64902300
124,4/28/2023,168.490005,169.850006,167.880005,169.679993,169.217117,55209200
125,5/1/2023,169.279999,170.449997,168.639999,169.589996,169.127365,52472900
126,5/2/2023,170.089996,170.350006,167.539993,168.539993,168.080215,48425700
127,5/3/2023,169.5,170.919998,167.160004,167.449997,166.993195,65136000
128,5/4/2023,164.889999,167.039993,164.309998,165.789993,165.337723,81235400
129,5/5/2023,170.979996,174.300003,170.759995,173.570007,173.096512,113316400
130,5/8/2023,172.479996,173.850006,172.110001,173.5,173.026688,55962800
131,5/9/2023,173.050003,173.539993,171.600006,171.770004,171.301422,45326900
132,5/10/2023,173.020004,174.029999,171.899994,173.559998,173.086533,53724500
133,5/11/2023,173.850006,174.589996,172.169998,173.75,173.276016,49514700
134,5/12/2023,173.619995,174.059998,171,172.570007,172.33728,45497800
135,5/15/2023,173.160004,173.210007,171.470001,172.070007,171.837967,37266700
136,5/16/2023,171.990005,173.139999,171.800003,172.070007,171.837967,42110300
137,5/17/2023,171.710007,172.929993,170.419998,172.690002,172.457123,57951600
138,5/18/2023,173,175.240005,172.580002,175.050003,174.813934,65496700
139,5/19/2023,176.389999,176.389999,174.940002,175.160004,174.923798,55772400
140,5/22/2023,173.979996,174.710007,173.449997,174.199997,173.965073,43570900
141,5/23/2023,173.130005,173.380005,171.279999,171.559998,171.328644,50747300
142,5/24/2023,171.089996,172.419998,170.520004,171.839996,171.608261,45143500
143,5/25/2023,172.410004,173.899994,171.690002,172.990005,172.756714,56058300
144,5/26/2023,173.320007,175.770004,173.110001,175.429993,175.19342,54835000
145,5/30/2023,176.960007,178.990005,176.570007,177.300003,177.060898,55964400
146,5/31/2023,177.330002,179.350006,176.759995,177.25,177.010971,99625300
147,6/1/2023,177.699997,180.119995,176.929993,180.089996,179.847137,68901800
148,6/2/2023,181.029999,181.779999,179.259995,180.949997,180.705978,61945900
149,6/5/2023,182.630005,184.949997,178.039993,179.580002,179.33783,121946500
150,6/6/2023,179.970001,180.119995,177.429993,179.210007,178.968338,64848400
151,6/7/2023,178.440002,181.210007,177.320007,177.820007,177.5802,61944600
152,6/8/2023,177.899994,180.839996,177.460007,180.570007,180.326492,50214900
153,6/9/2023,181.5,182.229996,180.630005,180.960007,180.715973,48870700
154,6/12/2023,181.270004,183.889999,180.970001,183.789993,183.542145,54274900
155,6/13/2023,182.800003,184.149994,182.440002,183.309998,183.06279,54929100
156,6/14/2023,183.369995,184.389999,182.020004,183.949997,183.701935,57462900
157,6/15/2023,183.960007,186.520004,183.779999,186.009995,185.759155,65433200
158,6/16/2023,186.729996,186.990005,184.270004,184.919998,184.670624,101235600
159,6/20/2023,184.410004,186.100006,184.410004,185.009995,184.760498,49799100
160,6/21/2023,184.899994,185.410004,182.589996,183.960007,183.711929,49515700
161,6/22/2023,183.740005,187.050003,183.669998,187,186.747818,51245300
162,6/23/2023,185.550003,187.559998,185.009995,186.679993,186.428238,53079300
163,6/26/2023,186.830002,188.050003,185.229996,185.270004,185.020157,48088700
164,6/27/2023,185.889999,188.389999,185.669998,188.059998,187.806381,50730800
