Section,Transportation,Travel Time,Height,Shoe Size,Random Number
1260,Car,5,60,6.5,23
1245,Walk or Bike,4.5,64,7,14
1215,Car,1.33,71,13,55
1245,Bus,7,71,10,52
1240,Car,4,62,6,7
1240,Car,0.5,61,7.5,47
1250,Plane,8,73,10.5,24
1215,Plane,4.75,71,9,33
1255,Car,4.5,70,9,57
1240,Car,0.55,74,12.5,77
1245,Bus,0.33,67,7.5,19
1260,Car,4.5,70,10.5,94
1215,Car,0.25,65,7.5,60
1255,Plane,2,65,8,17
1245,Car,5,74,11,26
1260,Car,3.75,70,11,21
1255,Car,4,70,10.5,3
1215,Car,4,65,9,26
1245,Bus,4.45,64,7.5,29
1215,Bus,0.5,62,7,55
1245,Bus,5.25,74,10,43
1240,Car,6,70,10.5,12
1240,Car,0.55,69,11,10
1215,Car,5,66,7,22
1245,Car,4.5,61,6.5,78
1255,Car,1,68,9.5,17
1255,Car,4.3,76,14,44
1245,Car,3.5,70,10,13
1215,Car,0.33,67,7.5,83
1245,Plane,1.3,70,10,7
1255,Car,5,72,11.5,27
1255,Car,5,71,11,99
1255,Car,4.5,72,11,67
1255,Car,3,76,12,19
1255,Car,4.5,67,10,32
1255,Bus,4.5,70,11,84
1255,Plane,1,67,8,53
1255,Plane,13,65,8,88
1255,Car,0.25,73,12,9
1255,Car,0.33,68,8.5,44
1255,Plane,6,68,11.5,7
1255,Plane,2,69,11,13
1240,Plane,1.16,62,8.5,49
1255,Plane,1,66,8,24
1255,Car,4.5,77,12,69
1240,Car,4,71,10,2
1245,Car,2,70,11,33
1250,Car,0.5,70,10,77
1255,Car,4.5,75,11.5,20
1260,Car,4.5,74,9.5,7
1260,Car,4.5,73,11,25
1255,Car,0.5,65,9,12
1255,Walk or Bike,4.5,64,9,17
1255,Car,4,71,11.5,1
1255,Car,2,68,10,69
1255,Train,5,71,11,42
1255,Train,8,66,9,0.125
1255,Car,2,66,9,52
1255,Car,0.5,78,13,27
1255,Car,4,70,14,5
1255,Plane,1.5,68,9,10
1255,Car,1.75,62,6.5,7
1255,Car,4,63,6,16
1255,Walk or Bike,0.166,72,11,23
1260,Plane,3,70,10.5,20
1255,Car,5,66,7,50
1255,Car,0.33,67,8.5,21
1255,Car,5.5,64,8.5,99
1255,Plane,1.5,70,10.5,9
1260,Car,3.5,62,7,13
1260,Car,4.5,65,7.5,4
1255,Bus,0.33,64,8,13
1245,Car,4.25,72,10.5,8
1260,Car,4.5,63,6.5,17
1260,Plane,1,64,7,8
1240,Car,0.66,70,9.5,10
1245,Car,0.5,62,6,77
1260,Plane,0.55,67,9,43
1260,Car,4,65,7.5,26
1240,Car,0.66,70,10,64
1260,Car,2,68,10,17
1255,Car,2,71,10.5,20
1240,Car,30,62,6,50
1255,Car,0.5,66,9,65
1260,Car,0.5,72,11.5,69
1245,Car,0.33,61,7,12
1260,Car,5.5,73,11.5,10
1260,Car,4.5,72,11,75
1260,Bus,0.33,74,12,80
1260,Plane,1.5,71,9.5,14
1260,Plane,1.25,69,9.5,57
1260,Car,3.5,74,10,2
1260,Bus,7,71.5,11,17
1260,Plane,1,69,11,23
1260,Car,4,76,14,76
1260,Bus,5.5,72,10,50
1255,Car,5.5,62,7,33
1245,Plane,1,65,8,81
1260,Plane,3.5,74,13,51
1260,Bus,5,68,10,32
1260,Train,7.5,69,9,93
1260,Plane,2.33,70,10,21
1260,Car,2,65,9,20
1215,Car,30,69,8.5,28
1255,Car,4.5,65,6.5,48
1215,Car,0.5,64,8,33
1260,Car,1,65,10,24
1215,Car,0.33,70,9,93
1245,Car,5,67,9,55
1260,Plane,2,71,10,87
1260,Car,4,67,8,58
1260,Car,5,70,10,45
1260,Car,4.5,66,9,78
1215,Walk or Bike,0.25,75,11,77
1255,Car,6.5,72,13,17
1260,Car,4.3,70,10,15
1260,Car,5.5,69,11.5,9
1260,Car,4,65,7.5,9
1255,Car,5,72,12,40
1245,Plane,2.5,69,10,16
1260,Car,4.5,63,8,77
1260,Plane,20,67,8,7
1260,Plane,20,63.8,7,100
1240,Car,3,72,10,6
1260,Car,4.5,72,11.5,87
1260,Car,0.5,66,8,16
1255,Plane,1.5,64,8,28
1260,Plane,1,67,9,15
1255,Car,4,66,7,12
1240,Car,1.5,62,6,24
1250,Car,1.25,69,9.5,3
1240,Car,4.5,71,10.5,5
1260,Bus,661,61,7,88
1245,Car,4,68,10,66
1260,Car,0.5,66,8.5,21
1240,Car,6,71,10.5,10
