ID,Sex_Female,Job_grade,Time_in_grade,Pay_rate
1,True,2,1.5,865.38
2,True,4,0.5,819.9
3,True,2,1.5,675
4,False,8,1.5,1494.24
5,False,4,0.46,929.72
6,True,2,1.5,709.5
7,True,2,1.13,692.31
8,True,3,0.5,722.64
9,True,2,0.79,726.93
10,True,2,1.5,692.31
11,False,6,0.5,1142.31
12,False,8,0.5,1413.45
13,True,3,1.5,795
14,False,3,1.5,1025
15,True,4,0.5,867
16,True,3,0.54,778.86
17,False,5,0.5,1257.38
18,True,1,1.5,705.57
19,False,7,0.5,1052.31
20,True,2,0.5,735
21,True,2,1.5,780
22,False,7,0.5,1254.81
23,False,7,5,1263.99
24,True,2,0.71,692.31
25,True,6,2.5,1346.17
26,False,8,5,1409.85
27,True,2,1.5,747
28,True,2,2.5,789
29,False,7,1.5,1110
30,True,5,0.5,923.1
31,True,2,0.21,692.31
32,True,1,1.29,648
33,True,7,1.5,1567.31
34,False,5,2.5,1070
35,True,5,2.5,882.48
36,False,3,1.5,1085
37,False,3,0.5,1109
38,True,7,0.5,1535.42
39,True,1,2.21,657.69
40,False,4,1.5,1059.62
41,True,2,0.79,616.17
42,True,6,2.5,1324
43,False,5,1.5,1128.86
44,True,3,0.63,761.55
45,False,7,2.5,1223.1
46,False,4,3.5,1107.2
47,False,7,4.5,1119.24
48,True,4,0.5,1050
49,False,7,4.5,1500
50,False,5,0.71,939.62
51,True,8,0.5,1682.72
52,True,5,2.5,990
53,False,7,5,1368.24
54,False,8,0.5,1384.62
55,True,3,0.5,834
56,False,7,5,1263.48
57,False,6,5,1153.86
58,False,7,5,1263.48
59,True,5,1.5,813.6
60,False,3,1.5,1025
61,True,3,5,840
62,True,2,0.29,692.31
63,True,3,0.88,836.55
64,True,4,0.5,813.48
65,True,7,2.5,1463.45
66,True,2,2.5,747
67,True,6,0.5,1315.57
68,True,3,1.5,951.93
69,False,3,0.5,1030.74
70,True,3,1.5,853.83
71,True,2,0.88,660.45
72,False,6,0.5,1174.14
73,False,6,3.5,1056.6
74,False,7,1.54,1230
75,True,1,0.96,628.26
76,True,2,1.63,761.55
77,True,5,0.5,885
78,True,4,0.13,865.38
