TransactionID,Team,GameDate,GameType,Section,ItemCategory,ItemsPurchased,UnitPrice,TotalSpend,WaitTime_minutes,CustomerType,PaymentMethod,ConcessionStandID,StaffExperience_years,GameAttendance,DayOfWeek
TXN01001,Pittsburgh Penguins,3/8/2026,Playoff,General,Food,3,12.7,38.2,11.5,Season Ticket Holder,Credit Card,Stand 4,6.2,19541,Friday
TXN01002,Philadelphia Flyers,1/18/2026,Regular Season,Suite,Food,3,16.91,66.1,11.3,Single-Game,Mobile Pay,Stand 3,14.4,18563,Friday
TXN01003,Philadelphia Flyers,10/28/2025,Regular Season,General,Food,3,9.07,27.11,3.9,Single-Game,Credit Card,Stand 2,7.4,18546,Wednesday
TXN01004,Pittsburgh Penguins,1/25/2026,Regular Season,Club,Food,1,11.23,12.74,5.3,Single-Game,Credit Card,Stand 1,7.1,17236,Friday
TXN01005,Pittsburgh Penguins,4/20/2026,Regular Season,General,Food,1,13.59,19.12,8.6,Single-Game,Credit Card,Stand 2,11.8,16593,Friday
TXN01006,Philadelphia Flyers,10/7/2025,Regular Season,General,Beverage,3,13.55,45.73,8.1,Season Ticket Holder,Mobile Pay,Stand 4,13.3,17156,Saturday
TXN01007,Pittsburgh Penguins,4/17/2026,Regular Season,Club,Food,1,13.16,18.76,9.3,Single-Game,Credit Card,Stand 3,14.8,17773,Saturday
TXN01008,Philadelphia Flyers,1/31/2026,Regular Season,General,Food,3,8.66,24.57,1.1,Single-Game,Credit Card,Stand 4,13.9,18955,Saturday
TXN01009,Philadelphia Flyers,3/18/2026,Regular Season,General,Food,3,11.62,41.34,5.3,Single-Game,Mobile Pay,Stand 2,3,17283,Tuesday
TXN01010,Philadelphia Flyers,3/16/2026,Regular Season,General,Food,2,10.37,22.68,1.8,Single-Game,Mobile Pay,Stand 2,9.1,18519,Wednesday
TXN01011,Pittsburgh Penguins,12/26/2025,Regular Season,General,Beverage,1,9.76,16.39,6.6,Single-Game,Mobile Pay,Stand 1,6.6,18419,Sunday
TXN01012,Philadelphia Flyers,11/25/2025,Regular Season,General,Merchandise,2,36.1,87.23,1,Season Ticket Holder,Cash,Stand 1,3.2,18327,Friday
TXN01013,Philadelphia Flyers,4/3/2026,Regular Season,General,Merchandise,3,34.95,120,6,Season Ticket Holder,Mobile Pay,Stand 1,10,18704,Wednesday
TXN01014,Philadelphia Flyers,12/22/2025,Regular Season,Suite,Food,2,17.3,44.63,5.1,Single-Game,Cash,Stand 4,14,18294,Saturday
TXN01015,Philadelphia Flyers,2/17/2026,Regular Season,General,Food,1,11.49,7.55,5.1,Season Ticket Holder,Cash,Stand 3,8.5,19477,Thursday
TXN01016,Pittsburgh Penguins,12/14/2025,Playoff,Suite,Food,3,14.58,42.57,17.4,Season Ticket Holder,Cash,Stand 4,9.9,17980,Thursday
TXN01017,Philadelphia Flyers,3/29/2026,Regular Season,Club,Beverage,1,15.62,19.98,2.5,Single-Game,Cash,Stand 3,2.5,19185,Saturday
TXN01018,Philadelphia Flyers,10/23/2025,Regular Season,Suite,Beverage,1,18.4,16.64,1,Season Ticket Holder,Cash,Stand 2,1.3,17979,Sunday
TXN01019,Philadelphia Flyers,10/16/2025,Regular Season,General,Food,1,8.88,5,2.3,Single-Game,Credit Card,Stand 2,11.3,17125,Thursday
TXN01020,Pittsburgh Penguins,1/23/2026,Regular Season,Club,Merchandise,1,32.24,31.29,10.3,Single-Game,Credit Card,Stand 2,13.7,18158,Friday
TXN01021,Philadelphia Flyers,4/20/2026,Regular Season,General,Beverage,2,9.15,18.71,1,Single-Game,Cash,Stand 2,6.8,18710,Thursday
TXN01022,Philadelphia Flyers,1/17/2026,Regular Season,General,Beverage,1,12.22,5,4.8,Single-Game,Cash,Stand 1,10,18649,Saturday
TXN01023,Philadelphia Flyers,12/29/2025,Playoff,General,Merchandise,2,36.22,106.51,15,Single-Game,Credit Card,Stand 1,8.7,19752,Saturday
TXN01024,Philadelphia Flyers,2/24/2026,Regular Season,Suite,Food,2,17.34,45.81,3.6,Season Ticket Holder,Credit Card,Stand 4,6.8,16687,Thursday
TXN01025,Philadelphia Flyers,10/9/2025,Regular Season,General,Beverage,2,13.62,32.27,14.9,Season Ticket Holder,Credit Card,Stand 1,4.3,18758,Wednesday
TXN01026,Philadelphia Flyers,2/5/2026,Regular Season,Suite,Food,3,16.4,64.61,1.8,Single-Game,Mobile Pay,Stand 3,4.8,18137,Sunday
TXN01027,Pittsburgh Penguins,3/19/2026,Regular Season,Club,Beverage,1,9.51,14.98,1,Single-Game,Mobile Pay,Stand 3,5.2,19078,Saturday
TXN01028,Pittsburgh Penguins,1/12/2026,Regular Season,General,Merchandise,1,35.65,32.26,8.6,Single-Game,Credit Card,Stand 1,7.1,18272,Thursday
TXN01029,Philadelphia Flyers,2/20/2026,Regular Season,General,Food,1,12.46,5,11.3,Season Ticket Holder,Cash,Stand 4,3.8,18910,Friday
TXN01030,Pittsburgh Penguins,1/12/2026,Regular Season,General,Beverage,2,9.2,24.18,11.3,Single-Game,Credit Card,Stand 1,7.2,18643,Saturday
