rank,year,rating,genre,certificate,run_time,budget,box_office
1,1994,9.3,Drama,R,2h 22m,25000000.00,28884504.00
2,1972,9.2,"Crime,Drama",R,2h 55m,6000000.00,250341816.00
3,2008,9,"Action,Crime,Drama",PG-13,2h 32m,185000000.00,1006234167.00
4,1974,9,"Crime,Drama",R,3h 22m,13000000.00,47961919.00
5,1957,9,"Crime,Drama",Approved,1h 36m,350000.00,955.00
6,1993,9,"Biography,Drama,History",R,3h 15m,22000000.00,322161245.00
7,2003,9,"Action,Adventure,Drama",PG-13,3h 21m,94000000.00,1146457748.00
8,1994,8.9,"Crime,Drama",R,2h 34m,8000000.00,213928762.00
9,2001,8.8,"Action,Adventure,Drama",PG-13,2h 58m,93000000.00,898204420.00
10,1966,8.8,"Adventure,Western",Approved,2h 58m,1200000.00,25253887.00
11,1994,8.8,"Drama,Romance",PG-13,2h 22m,55000000.00,678226465.00
12,1999,8.8,Drama,R,2h 19m,63000000.00,101209702.00
13,2002,8.8,"Action,Adventure,Drama",PG-13,2h 59m,94000000.00,947944270.00
14,2010,8.8,"Action,Adventure,Sci-Fi",PG-13,2h 28m,160000000.00,836848102.00
15,1980,8.7,"Action,Adventure,Fantasy",PG,2h 4m,18000000.00,538375067.00
16,1999,8.7,"Action,Sci-Fi",R,2h 16m,63000000.00,467222728.00
17,1990,8.7,"Biography,Crime,Drama",R,2h 25m,25000000.00,47036784.00
18,1975,8.7,Drama,18+,2h 13m,3000000.00,109114817.00
19,1995,8.6,"Crime,Drama,Mystery",R,2h 7m,33000000.00,327333559.00
20,1954,8.6,"Action,Drama",Not Rated,3h 27m,125000000.00,346258.00
21,1946,8.6,"Drama,Family,Fantasy",PG,2h 10m,3180000.00,8574081.00
22,1991,8.6,"Crime,Drama,Thriller",R,1h 58m,19000000.00,272742922.00
23,2002,8.6,"Crime,Drama",R,2h 10m,3300000.00,30680793.00
24,1998,8.6,"Drama,War",R,2h 49m,70000000.00,482349603.00
25,2014,8.6,"Adventure,Drama,Sci-Fi",PG-13,2h 49m,165000000.00,773867216.00
26,1997,8.6,"Comedy,Drama,Romance",PG-13,1h 56m,20000000.00,230098753.00
27,1999,8.6,"Crime,Drama,Fantasy",R,3h 9m,60000000.00,286801374.00
28,1977,8.6,"Action,Adventure,Fantasy",PG,2h 1m,11000000.00,775398007.00
