Company	Industry	Headquarters	MarketCap
China Haisum Engineering Co   Ltd   SZSE 002116                       	Construction and Engineering	China 	154.6
Shanghai Mechanical & Electrical Industry Company Limited  SHSE 900925	Industrial Machinery        	China 	658.6
Henan Shuanghui Industry Group Co   Ltd   SZSE 000895                 	Packaged Foods and Meats    	China 	2854.1
Confab Industrial SA  BOVESPA CNFB4                                   	Steel                       	Brazil	624.3
China Sun Group High-Tech Co   OTCBB CSGH                             	Commodity Chemicals         	China 	23.1
Sesa Goa Ltd   BSE 500295                                             	Steel                       	India 	1402.9
NESCO Ltd   BSE 505355                                                	Industrial Machinery        	India 	69.2
Acos Villares S A   BOVESPA AVIL3                                     	Steel                       	Brazil	750.1
Shandong Jinling Mining Co Ltd   SZSE 000655                          	Steel                       	China 	512.2
China Fire & Security Group  Inc   NasdaqCM CFSG                      	Industrial Machinery        	China 	198.1
Thermax Ltd   BSE 500411                                              	Industrial Machinery        	India 	460.1
Metalurgica Gerdau S A   BOVESPA GOAU4                                	Steel                       	Brazil	4245.8
Gulf Resources  Inc   OTCBB GFRE                                      	Commodity Chemicals         	China 	40.9
Shenji Group Kunming Machine Tool Company Limited  SEHK 300           	Industrial Machinery        	China 	213.8
TIAN DI Science & Technology Co Ltd  SHSE 600582                      	Industrial Machinery        	China 	1366.2
TRF Ltd   BSE 505854                                                  	Industrial Machinery        	India 	31.4
Zaklady Przetworstwa Hutniczego Stalprodukt SA  WSE STP               	Steel                       	Poland	635.8
Fujian Zhenyun Plastics Co   Ltd  SGX 5KT                             	Industrial Machinery        	China 	18
Maanshan Fangyuan Slewing Ring Co ltd  SZSE 002147                    	Industrial Machinery        	China 	337.1
China Sunsine Chemical Holdings Ltd   SGX CH8                         	Commodity Chemicals         	China 	61.8
Instal Krakow SA  WSE INK                                             	Construction and Engineering	Poland	29.3
He Bei Cheng De Lolo Company Limited  SZSE 000848                     	Packaged Foods and Meats    	China 	433.7
Haitian International Holdings Limited  SEHK 1882                     	Industrial Machinery        	China 	240.9
Weg SA  BOVESPA WEGE3                                                 	Industrial Machinery        	Brazil	3530.9
China Kangda Food Company Limited  SGX P74                            	Packaged Foods and Meats    	China 	50.9
Suzhou Gold Mantis Construction Decoration Co   Ltd  SZSE 002081      	Construction and Engineering	China 	440.3
Celestial Nutrifoods Ltd   SGX C56                                    	Packaged Foods and Meats    	China 	177.3
Usinas Siderúrgicas de Minas Gerais S A   BOVESPA USIM5               	Steel                       	Brazil	6636.4
China Starch Holdings Limited  SEHK 3838                              	Packaged Foods and Meats    	China 	192.1
Shanghai Hanbell Precise Machinery Co  Ltd  SZSE 002158               	Industrial Machinery        	China 	237.5
Gerdau S A   BOVESPA GGBR4                                            	Steel                       	Brazil	11158.9
Yueyang Xingchang Petro-Chemical Co   Ltd   SZSE 000819               	Commodity Chemicals         	China 	506
Kabra Extrusiontechnik  BSE 524109                                    	Industrial Machinery        	India 	12.8
Guoxing Rongda Real Estate Co  Ltd   SZSE 000838                      	Commodity Chemicals         	China 	131
Tingyi Cayman Islands Holding Corp   SEHK 322                         	Packaged Foods and Meats    	China 	6198.5
Mahle Metal Leve S A   BOVESPA LEVE4                                  	Industrial Machinery        	Brazil	251.5
Sichuan Tianyi Science & Technology  Co  Ltd   SHSE 600378            	Construction and Engineering	China 	169.6
Alchemia SA  WSE ALC                                                  	Steel                       	Poland	613.4
Shiner International  Inc   NasdaqCM BEST                             	Commodity Chemicals         	China 	25.4
Fibam Companhia Industrial S A   BOVESPA FBMC4                        	Industrial Machinery        	Brazil	13.4
China Essence Group Ltd   SGX G54                                     	Packaged Foods and Meats    	China 	66.6
Pratibha Industries Ltd   BSE 532718                                  	Construction and Engineering	India 	26.3
China Lifestyle Food & Beverages  SGX E69                             	Packaged Foods and Meats    	China 	34.2
Fujian Longking Co  Ltd   SHSE 600388                                 	Industrial Machinery        	China 	312.9
Sarda Energy & Minerals Limited  BSE 504614                           	Steel                       	India 	50.8
Stalexport Autostrady S A   WSE STX                                   	Steel                       	Poland	155.1
Yunnan Malong Chemicals & Construction Co   Ltd   SHSE 600792         	Commodity Chemicals         	China 	130.9
Kalpataru Power Transmission Ltd   BSE 522287                         	Construction and Engineering	India 	157.8
Prochem SA  WSE PRM                                                   	Construction and Engineering	Poland	23.3
American Lorain Corporation  OTCBB ALRC                               	Packaged Foods and Meats    	China 	25.9
Companhia Siderurgica Nacional  BOVESPA CSNA3                         	Steel                       	Brazil	12441.5
Chengdu Dr Peng Technology Company Ltd  SHSE 600804                   	Steel                       	China 	989.7
Sansteel MinGuang Co   Ltd   Fujian  SZSE 002110                      	Steel                       	China 	509.1
China Angel Food Ltd   SGX CL8                                        	Packaged Foods and Meats    	China 	22.4
China Yurun Food Group Ltd  SEHK 1068                                 	Packaged Foods and Meats    	China 	1856.7
Zhejiang Tianma Bearing Co  Ltd   SZSE 002122                         	Industrial Machinery        	China 	2167.5
Xiwang Sugar Holdings Co  Ltd  SEHK 2088                              	Packaged Foods and Meats    	China 	123.2
Inner Mongolia PingZhuang Energy Co Ltd   SZSE 000780                 	Packaged Foods and Meats    	China 	752.2
Sinopipe Holdings Ltd  SGX X06                                        	Industrial Machinery        	China 	15.3
Jinan Iron & Steel Co  Ltd   SHSE 600022                              	Steel                       	China 	1224.7
Daye Special Steel Co   Ltd   SZSE 000708                             	Steel                       	China 	348.4
Elekeiroz SA  BOVESPA ELEK4                                           	Commodity Chemicals         	Brazil	213.2
Uni-President China Holdings Ltd  SEHK 220                            	Packaged Foods and Meats    	China 	984.5
Wuhan General Group  China  Inc   NasdaqCM WUHN                       	Industrial Machinery        	China 	114
China Bearing Singapore Ltd   SGX AD7                                 	Industrial Machinery        	China 	12.5
Grindwell Norton Ltd   BSE 506076                                     	Industrial Machinery        	India 	91.4
Sutor Technology Group  Ltd   NasdaqCM SUTR                           	Steel                       	China 	90.7
Erbud Sp Z O O   WSE ERB                                              	Construction and Engineering	Poland	102.8
Shandong Luyang Share Co  Ltd   SZSE 002088                           	Commodity Chemicals         	China 	339.3
Wuhan Iron and Steel Co   Ltd   SHSE 600005                           	Steel                       	China 	6351.3
Danhua Chemical Technology Co  Ltd   SHSE 900921                      	Packaged Foods and Meats    	China 	165.4
Przedsiebiorstwo Hydrauliki Silowej HYDROTOR S A   WSE HDR            	Industrial Machinery        	Poland	25.7
Fabryka Farb i Lakierów SNIEZKA S A   WSE SKA                         	Commodity Chemicals         	Poland	121.3
Nanjing Hongbaoli Co Ltd  SZSE 002165                                 	Commodity Chemicals         	China 	201.7
China Nonferrous Metal Industry's Foreign Engineering and Construction	Construction and Engineering	China 	629.5
IG Petrochemicals Ltd   BSE 500199                                    	Commodity Chemicals         	India 	12
Nanjing Iron & Steel United Co   Ltd   SHSE 600282                    	Steel                       	China 	791
Fujian Longxi Bearing group Co  Ltd   SHSE 600592                     	Industrial Machinery        	China 	240.5
Minerva S A  BOVESPA BEEF3                                            	Packaged Foods and Meats    	Brazil	70
Zuk Staporkow S A   WSE ZUK                                           	Industrial Machinery        	Poland	14.4
Shandong Homey Aquatic Development Co  Ltd   SHSE 600467              	Packaged Foods and Meats    	China 	525.5
Enric Energy Equipment Holdings Ltd   SEHK 3899                       	Industrial Machinery        	China 	93
Lingyuan Iron & Steel Co   Ltd   SHSE 600231                          	Steel                       	China 	579.8
Ningxia Yinglite Chemicals Co  Ltd   SZSE 000635                      	Commodity Chemicals         	China 	189
Jindal Steel & Power Ltd   BSE 532286                                 	Steel                       	India 	3025.9
Yantai North Andre Juice Co  Ltd   SEHK 8259                          	Packaged Foods and Meats    	China 	176.1
Sunpower Group Ltd  SGX 5GD                                           	Industrial Machinery        	China 	20.1
Synear Food Holdings Ltd  SGX Z75                                     	Packaged Foods and Meats    	China 	313
Mostostal Zabrze Holding SA  WSE MSZ                                  	Construction and Engineering	Poland	163.1
XiNing Special Steel Co   Ltd   SHSE 600117                           	Steel                       	China 	509.6
Ningbo Donly Transmission Equipment Co   LTD  SZSE 002164             	Industrial Machinery        	China 	264.9
Hubei Xingfa Chemicals Group Co  Ltd   SHSE 600141                    	Commodity Chemicals         	China 	396.2
Inner Mongolia Yuan Xing Energy Co   Ltd   SZSE 000683                	Commodity Chemicals         	China 	503.1
Tangshan Iron And Steel Company Limited  SZSE 000709                  	Steel                       	China 	2142.7
Zhongpin  Inc   NasdaqGS HOGS                                         	Packaged Foods and Meats    	China 	327.7
ZPC Wawel SA  WSE WWL                                                 	Packaged Foods and Meats    	Poland	88.3
Huayi Compressor Co  Ltd   SZSE 000404                                	Industrial Machinery        	China 	165.2
SDIC Zhonglu Fruit Juice Co  Ltd   SHSE 600962                        	Packaged Foods and Meats    	China 	241.3
Zhejiang Huafeng Spandex Co   Ltd  SZSE 002064                        	Commodity Chemicals         	China 	356.4
People's Food Holdings Ltd   SGX P05                                  	Packaged Foods and Meats    	China 	564.6
Nantong Science & Technology Investment Group Company Ltd   SHSE 60086	Industrial Machinery        	China 	179.6
Keda Industrial Co  Ltd   SHSE 600499                                 	Industrial Machinery        	China 	430.4
Tangshan Sanyou Chemical Industries Co  Ltd   SHSE 600409             	Commodity Chemicals         	China 	484.9
China Haisheng Juice Holdings Co   Ltd  SEHK 359                      	Packaged Foods and Meats    	China 	88.3
Ugar Sugar Works Ltd   BSE 530363                                     	Packaged Foods and Meats    	India 	28.4
Hubei Shuanghuan Science & Technology Stock Co   Ltd   SZSE 000707    	Commodity Chemicals         	China 	387
Jiangsu Miracle Logistics System Engineering Co   Ltd   SZSE 002009   	Industrial Machinery        	China 	272.8
Qingdao MESNAC Co   Ltd   SZSE 002073                                 	Industrial Machinery        	China 	505.1
PBG SA  WSE PBG                                                       	Construction and Engineering	Poland	961.1
Elecon Engineering Co  Ltd   BSE 505700                               	Industrial Machinery        	India 	77.8
NRB Bearings Ltd   BSE 530367                                         	Industrial Machinery        	India 	41.4
Kingfa Science & Technology Company Limited  SHSE 600143              	Commodity Chemicals         	China 	1072.4
Rafako SA  WSE RFK                                                    	Industrial Machinery        	Poland	88
Konsorcjum Stali S A   WSE KST                                        	Steel                       	Poland	58.3
Zhejiang Sanhua Co Ltd  SZSE 002050                                   	Industrial Machinery        	China 	503.5
Wuxi Huaguang Boiler Co   ltd   SHSE 600475                           	Industrial Machinery        	China 	326.1
MAN Industries India Ltd   BSE 513269                                 	Construction and Engineering	India 	43.6
Polimex-Mostostal S A   WSE PXM                                       	Construction and Engineering	Poland	479.5
Supreme Industries Limited  BSE 509930                                	Commodity Chemicals         	India 	63.1
Xinxing Ductile Iron Pipes Co   Ltd   SZSE 000778                     	Steel                       	China 	1116.7
Budimex SA  WSE BDX                                                   	Construction and Engineering	Poland	474.2
Gan Su Jiu Steel Group Hongxing Iron & Steel Co Ltd  SHSE 600307      	Steel                       	China 	659.3
Chongqing Iron & Steel Co  Ltd   SEHK 1053                            	Steel                       	China 	543.3
