Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,DeliveryDate,RegionManager
1/15/2023,North,Desk,15,185,Store B,Wholesale,0.15,Alice,2775,Cash,FREESHIP,0,REG100723,Cust 2871,29.31,1/17/2023,Ryan
8/8/2023,West,Phone,8,200.74,Store A,Wholesale,0.1,Diana,1605.92,Gift Card,SAVE10,1,REG101149,Cust 4571,30.7,8/10/2023,Wendy
4/29/2023,West,Desk,7,235.94,Store D,Wholesale,0.1,Alice,1486.422,Gift Card,FREESHIP,0,REG100572,Cust 3259,8.44,5/4/2023,Wendy
3/15/2024,South,Tablet,17,78.58,Store A,Wholesale,0.15,Bob,1202.274,Gift Card,WINTER15,0,REG100111,Cust 9780,8.02,3/25/2024,Sophie
1/11/2025,North,Tablet,16,332.19,Store C,Retail,0.15,Eva,4783.536,Credit Card,SAVE10,1,REG101054,Cust 6274,34.97,1/19/2025,Ryan
5/13/2025,South,Laptop,6,214.14,Store D,Wholesale,0.05,Diana,1220.598,Cash,FREESHIP,0,REG101070,Cust 8762,44.86,5/21/2025,Sophie
10/6/2024,South,Phone,13,55.46,Store A,Retail,0.15,Bob,684.931,Credit Card,FREESHIP,1,REG101188,Cust 6365,18.01,10/9/2024,Sophie
6/22/2025,East,Tablet,5,414.58,Store B,Retail,0.05,Diana,1865.61,Gift Card,,0,REG101402,Cust 2571,14.98,7/1/2025,Eric
6/18/2025,East,Monitor,17,419.63,Store D,Wholesale,0.15,Alice,7133.71,Cash,SAVE10,0,REG100744,Cust 3045,17.4,6/24/2025,Eric
4/3/2025,North,Laptop,12,276.42,Store C,Retail,0.1,Carlos,2819.484,Online,,0,REG100909,Cust 5042,30.57,4/12/2025,Ryan
3/14/2024,North,Desk,13,588.8,Store D,Wholesale,0.1,Frank,6506.24,Cash,SAVE10,0,REG100463,Cust 6994,45.03,3/21/2024,Ryan
5/23/2023,West,Tablet,9,438.22,Store D,Retail,0.1,Bob,3746.781,Cash,,0,REG100728,Cust 4678,22.73,5/29/2023,Wendy
1/4/2024,West,Tablet,1,103.13,Store B,Wholesale,0,Bob,103.13,Online,FREESHIP,0,REG100656,Cust 4798,42.38,1/14/2024,Wendy
11/24/2024,North,Monitor,9,539.64,Store A,Retail,0.1,Alice,4128.246,Gift Card,,0,REG101103,Cust 3854,16.08,12/3/2024,Ryan
10/10/2024,South,Chair,8,72.48,Store A,Wholesale,0.1,Carlos,521.856,Debit Card,,1,REG100889,Cust 4472,26.92,10/17/2024,Sophie
6/21/2023,South,Tablet,1,500.96,Store C,Wholesale,0,Frank,475.912,Online,WINTER15,0,REG100740,Cust 7449,42.1,6/25/2023,Sophie
8/26/2023,East,Chair,20,18.29,Store B,Retail,0.2,Diana,365.8,Debit Card,FREESHIP,1,REG100256,Cust 3116,35.37,8/29/2023,Eric
7/23/2023,East,Desk,6,358.27,Store B,Retail,0.05,Frank,1934.658,Gift Card,,0,REG101143,Cust 9982,7.34,8/2/2023,Eric
3/24/2023,South,Phone,9,233.11,Store B,Retail,0.1,Eva,1993.0905,Debit Card,WINTER15,0,REG101167,Cust 2579,31.43,3/28/2023,Sophie
12/9/2023,South,Chair,15,511.17,Store B,Wholesale,0.15,Frank,7667.55,Online,FREESHIP,0,REG100064,Cust 6747,21.77,12/12/2023,Sophie
7/10/2023,East,Monitor,2,327.57,Store A,Retail,0,Diana,622.383,Debit Card,,0,REG101061,Cust 3440,19.49,7/19/2023,Eric
12/30/2024,North,Laptop,18,444.13,Store D,Retail,0.15,Frank,7994.34,Cash,SAVE10,0,REG101273,Cust 6950,5.41,1/2/2025,Ryan
9/29/2023,East,Monitor,14,167.09,Store D,Retail,0.15,Alice,2222.297,Gift Card,SAVE10,1,REG100104,Cust 4522,47.05,10/8/2023,Eric
11/22/2023,South,Monitor,8,138.73,Store A,Wholesale,0.1,Frank,1054.348,Online,WINTER15,1,REG100265,Cust 6855,48.51,11/29/2023,Sophie
9/22/2024,East,Chair,18,575.1,Store D,Wholesale,0.15,Bob,10351.8,Online,FREESHIP,0,REG100536,Cust 9748,35.32,9/29/2024,Eric
10/7/2023,South,Laptop,6,505.7,Store C,Retail,0.1,Alice,3034.2,Cash,,0,REG100596,Cust 4252,40.38,10/16/2023,Sophie
4/8/2024,North,Desk,6,126.86,Store C,Wholesale,0.05,Eva,723.102,Debit Card,FREESHIP,0,REG100799,Cust 1637,35.49,4/17/2024,Ryan
4/9/2025,West,Monitor,12,312.72,Store C,Retail,0.1,Eva,3752.64,Gift Card,,0,REG101318,Cust 2641,18.46,4/19/2025,Wendy
10/23/2023,West,Laptop,17,25.95,Store B,Wholesale,0.15,Bob,419.0925,Gift Card,,0,REG100578,Cust 2218,27.68,10/30/2023,Wendy
3/18/2025,North,Printer,16,420.79,Store B,Wholesale,0.15,Carlos,5722.744,Cash,FREESHIP,1,REG100356,Cust 6362,22.13,3/25/2025,Ryan
3/4/2023,North,Tablet,13,494.78,Store A,Wholesale,0.15,Diana,5467.319,Cash,FREESHIP,0,REG100759,Cust 7224,5.85,3/13/2023,Ryan
1/1/2024,South,Monitor,7,208.86,Store B,Retail,0.1,Frank,1462.02,Cash,FREESHIP,0,REG100257,Cust 1015,20.64,1/8/2024,Sophie
12/26/2023,North,Monitor,7,157,Store A,Wholesale,0.1,Alice,934.15,Online,SAVE10,1,REG101255,Cust 9097,39.72,1/4/2024,Ryan
9/9/2023,West,Tablet,18,222.66,Store C,Wholesale,0.15,Alice,3807.486,Gift Card,SAVE10,0,REG101319,Cust 1969,12.91,9/12/2023,Wendy
4/10/2025,North,Printer,11,204.5,Store A,Retail,0.1,Eva,2249.5,Debit Card,WINTER15,0,REG101020,Cust 8706,13.82,4/20/2025,Ryan
7/9/2023,East,Phone,13,27.39,Store B,Retail,0.15,Frank,302.6595,Cash,,0,REG101399,Cust 5409,22.95,7/14/2023,Eric
9/3/2023,North,Tablet,14,82.14,Store C,Retail,0.15,Alice,1149.96,Credit Card,,0,REG100035,Cust 7902,12.57,9/11/2023,Ryan
7/8/2024,North,Tablet,18,448.03,Store B,Retail,0.15,Frank,6854.859,Cash,WINTER15,1,REG101114,Cust 6167,13.23,7/17/2024,Ryan
11/28/2023,North,Chair,18,174.03,Store B,Wholesale,0.15,Frank,2819.286,Online,SAVE10,0,REG100238,Cust 5746,32.19,12/3/2023,Ryan
9/23/2023,West,Desk,7,41.57,Store D,Retail,0.1,Carlos,290.99,Online,,0,REG100894,Cust 3356,16.59,9/29/2023,Wendy
