Team	League	Attendance	Attend_per_Game	BatAge	PAge	Num_2017AllStars	Num_AllTime_AllStars	Est. Payroll
ARI	NL	2134375	26350	28.3	28.7	4	9	106580200
ATL	NL	2505252	30929	28.6	29.4	1	9	119705250
BAL	AL	2028424	25042	28.6	28.2	1	14	161621633
BOS	AL	2917678	36021	27.4	28.4	3	14	200550750
CHC	NL	3199562	39501	27.1	30.8	1	13	177210667
CHW	AL	1629470	20117	26.8	28.7	1	9	97842000
CIN	NL	1836917	22678	27.2	27.6	2	5	79315786
CLE	AL	2048138	25286	28.2	28.9	5	9	114427167
COL	NL	2953650	36465	28.3	27	4	8	106650000
DET	AL	2321599	28662	29.5	28.3	2	12	118375600
HOU	AL	2403671	29675	28.8	28.5	6	12	157656400
KCR	AL	2220370	27412	29	30.3	3	15	127555817
LAA	AL	3019583	37279	29.8	29.1	1	6	181125500
LAD	NL	3765856	46492	28	29.7	6	16	201466263
MIA	NL	1651997	20395	28.3	28.7	2	8	111591100
MIL	NL	2558722	31589	27.4	28.3	1	4	68439300
MIN	AL	2051279	25324	27.2	29.6	3	10	103932500
NYM	NL	2460622	30378	28.9	27.5	1	11	176615252
NYY	AL	3146966	38851	28.6	27.8	5	16	182424700
OAK	AL	1475721	18219	28.7	27.9	1	5	51560000
PHI	NL	1905354	23523	26.6	26.8	1	6	86841000
PIT	NL	1919447	23697	28.2	27.1	1	6	102953333
SDP	NL	2138491	26401	26.2	27.7	1	6	49248767
SEA	AL	2135445	26364	29.4	27.8	2	9	172438700
SFG	NL	3303652	40786	29.5	28.9	1	14	177399833
STL	NL	3447937	42567	28	28.3	2	13	129652933
TBR	AL	1253619	15477	28.3	27.6	1	9	79473033
TEX	AL	2507760	30960	28.4	28.8	1	9	207326274
TOR	AL	3203886	39554	30.8	28.8	2	12	158890575
WSN	NL	2524980	31173	29.2	30.1	5	12	175587301
