set	word_freq_000	word_freq_650	word_freq_george	word_freq_hp	word_freq_all	word_freq_business	word_freq_edu	word_freq_free	word_freq_meeting	word_freq_money	word_freq_our	word_freq_over	word_freq_parts	word_freq_receive	word_freq_remove	word_freq_your	char_freq_exclamation_point	char_freq_dollar_sign	capital_run_length_longest	spam
0	0.000	0.000	0.000	0.000	0.640	0.000	0.000	0.320	0.000	0.000	0.320	0.000	0.000	0.000	0.000	0.960	0.778	0.000	61.000	1
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.310	0.000	0.000	0.630	0.000	0.000	0.310	0.310	0.310	0.135	0.000	40.000	1
0	0.000	0.000	0.000	0.000	0.460	0.000	0.000	0.000	0.000	0.150	0.610	0.000	0.000	0.760	0.300	2.000	0.181	0.203	445.000	1
0	0.190	0.000	0.000	0.000	0.770	0.000	0.000	0.000	0.000	0.000	0.190	0.320	0.000	0.000	0.380	0.710	0.244	0.081	43.000	1
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.960	0.960	0.960	0.462	0.000	6.000	1
0	0.000	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	0.000	0.380	0.250	0.000	0.120	0.250	0.770	0.663	0.000	11.000	1
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.900	0.900	0.900	0.000	0.000	7.000	1
0	0.310	0.310	0.000	0.000	0.000	0.310	0.000	0.630	0.000	0.630	1.590	0.310	0.000	0.000	0.000	1.910	0.055	0.496	91.000	1
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.729	0.000	9.000	1
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.330	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.352	0.000	11.000	1
0	0.000	0.000	0.000	0.000	0.000	1.170	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.886	0.000	10.000	1
0	0.000	0.000	0.000	0.000	3.030	0.000	0.000	3.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.112	0.000	11.000	1
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.270	0.000	0.270	1.890	0.270	0.000	0.000	0.000	2.700	0.000	0.091	11.000	1
